cell,corners,centroid,auxin,area,meristematic,pericycle,centroid_y,distance,tick
173,"[[54, 125], [54, 128], [57, 128], [57, 125]]","[55.5, 126.5]",226.988,9,True,True,126.5,0.0,22
219,"[[54, 144], [54, 151], [57, 151], [57, 144]]","[55.5, 147.5]",199.91,21,True,True,147.5,3.8333333333333144,22
252,"[[54, 159], [54, 163], [57, 163], [57, 159]]","[55.5, 161.0]",167.969,12,True,True,161.0,0.1666666666666572,22
284,"[[54, 171], [54, 175], [57, 175], [57, 171]]","[55.5, 173.0]",153.255,12,True,True,173.0,5.0,22
64,"[[54, 83], [54, 90], [57, 90], [57, 83]]","[55.5, 86.5]",430.275,21,True,True,86.5,11.5,23
81,"[[54, 92], [54, 95], [57, 95], [57, 92]]","[55.5, 93.5]",303.816,9,True,True,93.5,1.3333333333333286,23
130,"[[54, 108], [54, 114], [57, 114], [57, 108]]","[55.5, 111.0]",238.653,18,True,True,111.0,1.6666666666666572,23
177,"[[54, 126], [54, 129], [57, 129], [57, 126]]","[55.5, 127.5]",224.674,9,True,True,127.5,1.0,23
222,"[[54, 141], [54, 144], [57, 144], [57, 141]]","[55.5, 142.5]",188.193,9,True,True,142.5,1.1666666666666856,23
267,"[[54, 156], [54, 161], [57, 161], [57, 156]]","[55.5, 158.5]",176.822,15,True,True,158.5,2.333333333333343,23
299,"[[54, 170], [54, 174], [57, 174], [57, 170]]","[55.5, 172.0]",159.843,12,True,True,172.0,6.0,23
64,"[[54, 83], [54, 86], [57, 86], [57, 83]]","[55.5, 84.5]",389.864,9,True,True,84.5,9.5,24
96,"[[54, 93], [54, 96], [57, 96], [57, 93]]","[55.5, 94.5]",298.448,9,True,True,94.5,2.3333333333333286,24
145,"[[54, 109], [54, 115], [57, 115], [57, 109]]","[55.5, 112.0]",255.575,18,True,True,112.0,2.666666666666657,24
178,"[[54, 123], [54, 127], [57, 127], [57, 123]]","[55.5, 125.0]",228.614,12,True,True,125.0,1.5,24
