tick,cell_id,cx,cy,y_min,y_max,auxin
2,805,56.5,711.4096950204643,683.8960044280692,738.9233856128593,1.60024
2,812,85.5,711.4096950204643,683.8960044280692,738.9233856128593,1.60024
2,819,56.5,954.9233856128592,738.9233856128593,1170.9233856128592,1.60035
2,826,85.5,954.9233856128592,738.9233856128593,1170.9233856128592,1.60035
3,64,56.5,75.52995216105181,74.0,78.05990432210363,396.192
3,71,85.5,75.52995216105181,74.0,78.05990432210363,396.192
3,79,56.5,80.58985648315547,78.05990432210363,83.1198086442073,395.171
3,86,85.5,80.58985648315547,78.05990432210363,83.1198086442073,395.171
3,94,56.5,85.64976080525912,83.1198086442073,88.17971296631094,393.975
3,101,85.5,85.64976080525912,83.1198086442073,88.17971296631094,393.975
3,109,56.5,90.70966512736277,88.17971296631094,93.23961728841459,227.734
3,116,85.5,90.70966512736277,88.17971296631094,93.23961728841459,227.734
3,124,56.5,95.76956944946642,93.23961728841459,98.29952161051823,61.2933
3,131,85.5,95.76956944946642,93.23961728841459,98.29952161051823,61.2933
3,140,56.5,100.82947377157006,98.29952161051823,103.35942593262189,60.6755
3,147,85.5,100.82947377157006,98.29952161051823,103.35942593262189,60.6755
3,155,56.5,105.88937809367371,103.35942593262189,108.41933025472554,60.72
3,162,85.5,105.88937809367371,103.35942593262189,108.41933025472554,60.72
3,170,56.5,110.94928241577736,108.41933025472554,113.47923457682919,60.6749
3,177,85.5,110.94928241577736,108.41933025472554,113.47923457682919,60.6749
3,185,56.5,116.00918673788101,113.47923457682919,118.53913889893285,60.72
3,192,85.5,116.00918673788101,113.47923457682919,118.53913889893285,60.72
3,199,56.5,121.06909105998467,118.53913889893285,123.5990432210365,60.6749
3,206,85.5,121.06909105998467,118.53913889893285,123.5990432210365,60.6749
3,214,56.5,126.1289953820883,123.5990432210365,128.65894754314013,60.72
3,221,85.5,126.1289953820883,123.5990432210365,128.65894754314013,60.72
3,229,56.5,131.18889970419195,128.65894754314013,133.71885186524378,60.6749
3,236,85.5,131.18889970419195,128.65894754314013,133.71885186524378,60.6749
3,243,56.5,136.2488040262956,133.71885186524378,138.77875618734743,60.72
3,250,85.5,136.2488040262956,133.71885186524378,138.77875618734743,60.72
3,257,56.5,141.30870834839925,138.77875618734743,143.83866050945107,60.6749
3,264,85.5,141.30870834839925,138.77875618734743,143.83866050945107,60.6749
3,271,56.5,146.36861267050293,143.83866050945107,148.89856483155478,60.72
3,278,85.5,146.36861267050293,143.83866050945107,148.89856483155478,60.72
3,285,56.5,151.4285169926066,148.89856483155478,153.9584691536584,60.6749
3,292,85.5,151.4285169926066,148.89856483155478,153.9584691536584,60.6749
3,300,56.5,156.48842131471022,153.9584691536584,159.01837347576205,60.72
3,307,85.5,156.48842131471022,153.9584691536584,159.01837347576205,60.72
